,0,1
572,CCAP211/11G,['C27']
573,CCAP1318/234,['C56']
574,CCAP11/141,['C14']
575,CCAP1421/1,['C10']
576,CCAP3052/1,['C68']
577,CCAP379/5,['C4']
578,CCAP211/112,['C14']
579,CCAP1318/401,['C56']
580,CCAP1630/22,['C92']
581,CCAP258/120,['C14']
582,CCAP1350/11,['C4']
583,CCAP849/5,['C34']
584,CCAP470/7,['C79']
585,CCAP222/20,['C14']
586,CCAP276/31,['C14']
587,CCAP213/6,['C14']
588,CCAP258/57,['C14']
589,CCAP1403/4B,['C18'],Trichormus variabilis
590,CCAP1318/325,['C56']
591,CCAP679/10,['C14']
592,CCAP236/1B,['C55']
593,CCAP1588/4,['C68']
594,CCAP1503/7,['C73']
595,CCAP1022/3,['C37']
596,CCAP258/106,['C14']
597,CCAP1310/227,['C56']
598,CCAP1318/164,['C56']
599,CCAP66/53,['C95']
600,CCAP1318/11,['C56']
601,CCAP929/8,['C59']
602,CCAP1318/138,['C56']
603,CCAP276/16,['C27']
604,CCAP276/4E,['C79']
605,CCAP1318/412,['C56']
606,CCAP213/8,['C14']
607,CCAP11/33,['C14']
608,CCAP1306/37,['C56']
609,CCAP1410/11,['C18']
610,CCAP1318/212,['C56']
611,CCAP216/10,['C79']
612,CCAP11/6C,['C14']
613,CCAP11/6B,['C14']
614,CCAP1306/29,['C56']
615,CCAP1398/2,['C34']
616,CCAP11/136,['C1']
617,CCAP1900/3,['C12']
618,CCAP1310/218,['C56']
619,CCAP66/34,['C95']
620,CCAP11/153,['C14']
621,CCAP1312/1,['C56']
622,CCAP248/12,['C14']
623,CCAP1318/133,['C56']
624,CCAP1310/48,['C56']
625,CCAP66/65,['C95']
626,CCAP1023/1,['C37']
627,CCAP1306/23,['C56']
628,CCAP1310/65,['C56']
629,CCAP1503/6,['C73']
630,CCAP1119/48,['C45']
631,CCAP1501/8,['C68']
632,CCAP1310/82,['C56']
633,CCAP1310/245,['C56']
634,CCAP11/140,['C14']
635,CCAP233/1,['C95']
636,CCAP918/2,['C47']
637,CCAP1318/320,['C56']
638,CCAP1357/4,['C56']
639,CCAP1690/2,['C22']
640,CCAP1318/45,['C56']
641,CCAP1392/1,['C13']
642,CCAP1318/145,['C56']
643,CCAP211/8C,['C14']
644,CCAP940/1B,['C34']
645,CCAP19/22,['C9']
646,CCAP1318/223,['C56']
647,CCAP1957/7,['C63']
648,CCAP222/8,['C14']
649,CCAP1330/8,['C56']
650,CCAP32/3,['C14']
651,CCAP835/4,['C14']
652,CCAP1375/3,['C56']
653,CCAP1085/24,['C37']
654,CCAP850/1,['C14']
655,CCAP698/3B,['C14']
656,CCAP1306/6,['C56']
657,CCAP1393/3,['C56']
658,CCAP1501/2B,['C68']
659,CCAP1026/2,['C37']
660,CCAP1318/357,['C56']
661,CCAP258/170,['C14']
662,CCAP1318/35,['C56']
663,CCAP1398/1,['C34']
664,CCAP1069/2,['C37']
665,CCAP1345/1,['C56']
666,CCAP276/66,['C14']
667,CCAP1035/4,['C37']
668,CCAP176/6,['C14']
669,CCAP812/1,['C14']
670,CCAP1537/12,['C63']
671,CCAP258/61,['C14']
672,CCAP1310/94,['C56']
673,CCAP1310/134,['C56']
674,CCAP1005/15,['C25']
675,CCAP1501/19,['C68']
676,CCAP1588/11,['C68']
677,CCAP1911/1,['C58']
678,CCAP1460/12,['C17']
679,CCAP1057/1,['C37']
680,CCAP1310/321,['C56']
681,CCAP1140/8,['C59']
682,CCAP66/44,['C95']
683,CCAP849/4,['C95']
684,CCAP1318/270,['C56']
685,CCAP1501/16,['C68']
686,CCAP1250/5,['C63']
687,CCAP1901/1,['C12']
688,CCAP6006/3,['C47']
689,CCAP243/2A,['C79']
690,CCAP1403/13A,['C18']
691,CCAP19/30,['C47']
692,CCAP258/78,['C14']
693,CCAP1318/286,['C56']
694,CCAP181/10,['C14']
695,CCAP649/23,['C59']
696,CCAP1660/3C,['C99']
697,CCAP1453/4,['C18']
698,CCAP1310/232,['C56']
699,CCAP19/27,['C34']
700,CCAP1318/273,['C56']
701,CCAP1310/168,['C56']
702,CCAP1403/13D,['C18']
703,CCAP1555/1,['C76']
704,CCAP1365/4,['C4']
705,CCAP1501/3C,['C68']
706,CCAP1613/5,['C59']
707,CCAP1317/1,['C56']
708,CCAP1318/204,['C56']
709,CCAP1453/33,['C18']
710,CCAP176/4,['C14']
711,CCAP955/2,['C58']
712,CCAP211/3,"['C14', 'C79']"
713,CCAP65/1,['C14']
714,CCAP11/43,['C14']
715,CCAP11/112,['C14']
716,CCAP11/73,['C14']
717,CCAP1534/2,['C68']
718,CCAP1630/5A,['C81']
719,CCAP1532/1,['C54']
720,CCAP1518/25,['C68']
721,CCAP1306/18,['C56']
722,CCAP849/3,['C95']
723,CCAP218/1,"['C14', 'C79']"
724,CCAP1318/268,['C56']
725,CCAP1460/8,['C17']
726,CCAP1318/154,['C56']
727,CCAP211/89,['C14']
728,CCAP1427/4,['C18']
729,CCAP250/1,['C14']
730,CCAP1310/309,['C56']
731,CCAP1518/16,['C50']
732,CCAP211/11J,['C79']
733,CCAP379/23,['C79']
734,CCAP1047/2,['C37']
735,CCAP258/288,['C14']
736,CCAP1306/2,['C56']
737,CCAP933/27,['C59']
738,CCAP211/11Q,['C79']
739,CCAP1119/41,['C45']
740,CCAP450/1A,['C40']
741,CCAP11/139,['C14']
742,CCAP1318/95,['C56']
743,CCAP1446/10,['C17']
744,CCAP211/107,['C14']
745,CCAP415/4,['C14']
746,CCAP1310/244,['C56']
747,CCAP1501/7,['C68']
748,CCAP1318/128,['C56']
749,CCAP1310/10,['C56']
750,CCAP211/11B,['C14']
751,CCAP1314/2,['C56']
752,CCAP1393/2,['C56']
753,CCAP258/16,['C14']
754,CCAP1310/70,['C56']
755,CCAP1283/4B,['C41']
756,CCAP836/9,['C14']
757,CCAP1224/38,['C41']
758,CCAP202/7C,['C79']
759,CCAP211/29A,['C95']
760,CCAP1618/2,['C58']
761,CCAP1310/273,['C56']
762,CCAP66/31,['C95']
763,CCAP1537/6,['C12']
764,CCAP11/72,['C14']
765,CCAP470/4,['C14']
766,CCAP1306/12,['C56']
767,CCAP1121/7,['C45']
768,CCAP1588/8,['C68']
769,CCAP470/5,['C14']
770,CCAP887/3,['C14']
771,CCAP335/17,['C14']
772,CCAP163/1B,['C95']
773,CCAP1318/159,['C56']
774,CCAP1318/303,['C56']
775,CCAP379/39,['C4']
776,CCAP222/24,['C14']
777,CCAP1318/231,['C56']
778,CCAP202/10J,['C40']
779,CCAP216/13,['C79']
780,CCAP258/194,['C14']
781,CCAP384/2,['C14']
782,CCAP1050/19,['C37']
783,CCAP1361/6,['C56']
784,CCAP1373/3,['C56']
785,CCAP1453/24,['C18']
786,CCAP1970/1,['C109']
787,CCAP1310/295,['C56']
788,CCAP477/13,['C59']
789,CCAP66/22C,['C95']
790,CCAP1350/14,['C4']
791,CCAP211/29B,['C95']
792,CCAP1318/419,['C56']
793,CCAP1587/1,['C63']
794,CCAP211/56,['C14']
795,CCAP1310/173,['C56']
796,CCAP11/46,['C14']
797,CCAP6006/8,['C34']
798,CCAP1318/313,['C56']
799,CCAP1318/397,['C56']
800,CCAP1306/27,['C56']
801,CCAP1368/2,['C4']
802,CCAP1974/2,['C58']
803,CCAP34/2G,['C14']
804,CCAP1318/398,['C56']
805,CCAP5010/4,['C34']
806,CCAP211/55,['C26']
807,CCAP32/35,['C14']
808,CCAP1360/10,['C4']
809,CCAP909/1,['C47']
810,CCAP808/3,['C14']
811,CCAP1334/1,['C56']
812,CCAP11/27,['C14']
813,CCAP24/1A,['C14']
814,CCAP63/3,['C99']
815,CCAP1446/1A,['C18']
816,CCAP1614/1,['C99']
817,CCAP1571/6,['C109']
818,CCAP934/9,['C35']
819,CCAP202/14A,['C79']
820,CCAP8/6,['C34']
821,CCAP1318/307,['C56']
822,CCAP1380/5,['C74']
823,CCAP1318/310,['C56']
824,CCAP1448/2,['C17']
825,CCAP1361/10,['C56']
826,CCAP1306/10,['C56']
827,CCAP379/33,['C34']
828,CCAP847/1,['C14']
829,CCAP1589/20,['C71']
830,CCAP3047/3,['C68']
831,CCAP450/2,['C13']
832,CCAP32/32,['C14']
833,CCAP66/28,['C95']
834,CCAP1318/130,['C56']
835,CCAP1310/235,['C56']
836,CCAP1448/3,['C17']
837,CCAP277/1,['C79']
838,CCAP450/3,['C14']
839,CCAP1589/8,['C60']
840,CCAP1318/73,['C56']
841,CCAP1010/56,['C37']
842,CCAP1480/1,['C17']
843,CCAP32/1C,['C14']
844,CCAP1350/5,['C4']
845,CCAP211/47,['C26']
846,CCAP1406/1,['C10']
847,CCAP1450/4,['C17']
848,CCAP1318/422,['C56']
849,CCAP258/232,['C14']
850,CCAP258/46,['C14']
851,CCAP24/4,['C14']
852,CCAP218/10,['C14']
853,CCAP1357/5,['C56']
854,CCAP1310/117,['C56']
855,CCAP9/2,['C14']
856,CCAP1306/35,['C56']
857,CCAP1310/220,['C56']
858,CCAP813/1,['C14']
859,CCAP1055/9,['C37']
860,CCAP1318/162,['C56']
861,CCAP1462/6,['C17']
862,CCAP1318/178,['C56']
863,CCAP931/1,['C34']
864,CCAP1029/21,['C25']
865,CCAP1310/158,['C56']
866,CCAP1360/1,"['C4', 'C13', 'C40']"
867,CCAP1376/1,['C13']
868,CCAP1525/2,['C68']
869,CCAP1119/54,['C45']
870,CCAP258/181,['C14']
871,CCAP1318/321,['C56']
872,CCAP1318/329,['C56']
873,CCAP2502/7,['C68']
874,CCAP258/51,['C14']
875,CCAP1630/8B,['C81']
876,CCAP808/2,['C14']
877,CCAP1310/85,['C56']
878,CCAP216/3B,['C79']
