,0,1
416,JCM 15527,['J118']
417,JCM 15086,['J443']
418,JCM 2643,['J12']
419,JCM 16099,['J22']
420,JCM 14516,['J30']
421,JCM 28356,['J30']
422,JCM 28850,['J475']
423,JCM 12874,['J104']
424,JCM 2387,"['J25', 'J30']"
425,JCM 15452,"['J25', 'J30']"
426,JCM 8719,"['J68', 'J77']"
427,JCM 6860,['J282']
428,JCM 20241,['J22']
429,JCM 11596,"['J25', 'J30']"
430,JCM 17881,['J75']
431,JCM 32089,['J118']
432,JCM 22745,"['J30', 'J226']"
433,JCM 12904,['J30']
434,JCM 19177,['J346']
435,JCM 2949,"['J25', 'J30']"
436,JCM 17636,"['J30', 'J226']"
437,JCM 7264,"['J25', 'J30']"
438,JCM 28616,['J25']
439,JCM 2464,"['J25', 'J30']"
440,JCM 1997,"['J25', 'J30', 'J148', 'J346']"
441,JCM 16795,"['J30', 'J148']"
442,JCM 30985,['J386']
443,JCM 11449,"['J30', 'J148']"
444,JCM 22220,['J30']
445,JCM 2132,"['J12', 'J22', 'J118', 'J346', 'J739']"
446,JCM 7124,"['J13', 'J14', 'J84']"
447,JCM 7916,['J30']
448,JCM 30078,"['J22', 'J346']"
449,JCM 6883,"['J25', 'J30']"
450,JCM 15057,['J27']
451,JCM 15867,['J43']
452,JCM 25330,"['J709', 'J710']"
453,JCM 31581,"['J27', 'J346']"
454,JCM 22500,"['J30', 'J226']"
455,JCM 12656,['J30']
456,JCM 23110,['J30']
457,JCM 16791,"['J30', 'J226']"
458,JCM 23147,"['J30', 'J148']"
459,JCM 6361,['J30']
460,JCM 1580,"['J30', 'J32', 'J75', 'J363', 'J617']"
461,JCM 31155,['J118']
462,JCM 18172,"['J30', 'J148']"
463,JCM 8484,['J150']
464,JCM 12866,['J26']
465,JCM 22807,"['J30', 'J226']"
466,JCM 13779,"['J25', 'J30']"
467,JCM 18641,['J574']
468,JCM 30930,['J172']
469,JCM 17722,['J804']
470,JCM 9563,"['J25', 'J30']"
471,JCM 5037,"['J42', 'J50']"
472,JCM 19536,"['J74', 'J254']"
473,JCM 22206,"['J25', 'J30']"
474,JCM 20186,"['J26', 'J43']"
475,JCM 15666,['J346']
476,JCM 6819,['J26']
477,JCM 16286,"['J25', 'J30']"
478,JCM 19897,['J75']
479,JCM 16048,['J770']
480,JCM 17086,['J346']
481,JCM 15815,['J30']
482,JCM 24184,['J22']
483,JCM 31003,['J25']
484,JCM 1605,"['J25', 'J30', 'J118', 'J574', 'J583', 'J769', 'J770']"
485,JCM 6018,['J30']
486,JCM 17089,['J346']
487,JCM 32268,['J346']
488,JCM 21984,"['J25', 'J30']"
489,JCM 10029,['J57']
490,JCM 5567,['J30']
491,JCM 9442,"['J25', 'J30']"
492,JCM 8947,"['J111', 'J162']"
493,JCM 15404,"['J25', 'J30']"
494,JCM 11205,"['J14', 'J1099']"
495,JCM 31749,['J346']
496,JCM 32870,['J118']
497,JCM 2408,['J12']
498,JCM 9516,['J30']
499,JCM 22804,"['J30', 'J226']"
500,JCM 33362,"['J51', 'J61']"
501,JCM 3981,['J12']
502,JCM 22292,"['J30', 'J226']"
503,JCM 19621,"['J30', 'J31']"
504,JCM 3832,['J22']
505,JCM 3617,"['J25', 'J30']"
506,JCM 31419,['J1143']
507,JCM 32101,['J443']
508,JCM 6115,"['J25', 'J30']"
509,JCM 18514,['J475']
510,JCM 30475,['J402']
511,JCM 9237,['J30']
512,JCM 8415,"['J30', 'J148']"
513,JCM 19496,['J118']
514,JCM 3933,"['J25', 'J30']"
515,JCM 13791,"['J25', 'J30']"
516,JCM 2768,"['J13', 'J84']"
517,JCM 22560,"['J30', 'J226']"
518,JCM 16284,"['J25', 'J30']"
519,JCM 10755,"['J30', 'J148']"
520,JCM 24593,['J25']
521,JCM 1829,"['J25', 'J30', 'J74', 'J75', 'J118']"
522,JCM 7880,['J141']
523,JCM 3329,"['J14', 'J28', 'J51', 'J66', 'J118', 'J443', 'J475', 'J677', 'J1130']"
524,JCM 13703,"['J25', 'J30']"
525,JCM 18688,['J346']
526,JCM 12715,"['J30', 'J226']"
527,JCM 33936,['J118']
528,JCM 7249,['J58']
529,JCM 3561,"['J25', 'J30']"
530,JCM 12024,"['J30', 'J148']"
531,JCM 10575,"['J25', 'J30']"
532,JCM 23195,['J118']
533,JCM 15880,['J43']
534,JCM 8549,['J52']
535,JCM 12752,"['J30', 'J226']"
536,JCM 30400,['J118']
537,JCM 7017,"['J13', 'J14', 'J84']"
538,JCM 2290,"['J25', 'J30']"
539,JCM 30037,['J574']
540,JCM 7989,"['J14', 'J84']"
541,JCM 12662,['J455']
542,JCM 22819,['J30']
543,JCM 9552,"['J25', 'J30']"
544,JCM 14057,"['J25', 'J30']"
545,JCM 32171,['J346']
546,JCM 31016,['J475']
547,JCM 30033,['J574']
548,JCM 10778,['J14']
549,JCM 1370,"['J25', 'J26', 'J30', 'J75']"
550,JCM 15943,['J30']
551,JCM 33395,['J443']
552,JCM 31603,['J346']
553,JCM 2903,"['J25', 'J30']"
554,JCM 9360,"['J30', 'J148']"
555,JCM 30936,['J22']
556,JCM 9539,"['J25', 'J30']"
557,JCM 20123,['J12']
558,JCM 14498,"['J25', 'J30']"
559,JCM 18935,['J118']
560,JCM 6266,['J30']
561,JCM 31394,['J14']
562,JCM 19890,['J27']
563,JCM 14250,['J30']
564,JCM 6163,['J26']
565,JCM 15939,['J30']
566,JCM 4972,['J42']
567,JCM 7155,['J12']
568,JCM 17748,['J27']
569,JCM 9366,"['J30', 'J148']"
570,JCM 23214,['J118']
571,JCM 10638,"['J74', 'J75']"
572,JCM 6275,['J22']
573,JCM 9166,['J182']
574,JCM 18598,['J30']
575,JCM 13263,"['J25', 'J30']"
576,JCM 4975,['J42']
577,JCM 11999,"['J30', 'J148']"
578,JCM 8045,"['J25', 'J30']"
579,JCM 28861,['J475']
580,JCM 22303,"['J30', 'J226']"
581,JCM 21501,"['J27', 'J75']"
582,JCM 5618,['J30']
583,JCM 23003,['J30']
584,JCM 3525,"['J25', 'J30']"
585,JCM 23047,"['J32', 'J33']"
586,JCM 20172,['J28']
587,JCM 22799,"['J30', 'J226']"
588,JCM 22016,"['J25', 'J30']"
589,JCM 20004,['J75']
590,JCM 21335,['J118']
591,JCM 16481,['J30']
592,JCM 10129,['J240']
593,JCM 7963,"['J14', 'J84']"
594,JCM 10263,['J41']
595,JCM 7773,['J13']
596,JCM 7162,['J12']
597,JCM 23197,['J651']
598,JCM 22587,"['J30', 'J226']"
599,JCM 14232,['J455']
600,JCM 17889,"['J25', 'J30']"
601,JCM 7892,['J141']
602,JCM 7413,"['J25', 'J30']"
603,JCM 5620,['J30']
604,JCM 32796,['J386']
605,JCM 31754,['J840']
606,JCM 2316,"['J25', 'J30', 'J148', 'J150']"
607,JCM 8225,['J144']
608,JCM 16823,"['J25', 'J30']"
609,JCM 28782,['J22']
610,JCM 17682,['J118']
611,JCM 22480,['J30']
612,JCM 20141,['J26']
613,JCM 33845,['J475']
614,JCM 5932,"['J25', 'J30']"
615,JCM 5917,"['J25', 'J30']"
616,JCM 8394,"['J30', 'J148']"
617,JCM 17774,['J840']
618,JCM 34071,['J386']
619,JCM 15430,['J386']
620,JCM 11166,"['J25', 'J30']"
621,JCM 9159,['J181']
622,JCM 15798,['J870']
623,JCM 14196,['J30']
624,JCM 5243,"['J14', 'J84']"
625,JCM 7814,['J93']
626,JCM 31925,['J346']
627,JCM 3809,['J30']
628,JCM 28761,['J30']
629,JCM 15343,['J30']
630,JCM 10161,"['J30', 'J148']"
631,JCM 12047,"['J30', 'J148']"
632,JCM 11500,['J30']
633,JCM 10233,"['J25', 'J30']"
634,JCM 17992,['J27']
635,JCM 20992,['J74']
636,JCM 3805,['J22']
637,JCM 1361,"['J22', 'J25', 'J26', 'J30']"
638,JCM 7751,['J13']
639,JCM 7443,"['J25', 'J30']"
640,JCM 7503,['J112']
641,JCM 13685,"['J25', 'J30']"
642,JCM 8937,"['J25', 'J30']"
643,JCM 8102,"['J25', 'J30']"
644,JCM 31198,['J74']
645,JCM 8917,"['J25', 'J30']"
646,JCM 13468,['J14']
647,JCM 10632,['J30']
648,JCM 11294,"['J25', 'J30']"
649,JCM 17963,['J346']
650,JCM 19321,['J346']
651,JCM 9524,['J30']
652,JCM 21430,['J346']
653,JCM 17946,['J917']
654,JCM 5664,"['J25', 'J30']"
655,JCM 8779,"['J13', 'J84']"
656,JCM 28103,['J30']
657,JCM 15547,['J118']
658,JCM 19237,['J118']
659,JCM 18891,['J118']
660,JCM 13546,"['J30', 'J118']"
661,JCM 30468,['J346']
662,JCM 2926,['J30']
663,JCM 3821,"['J13', 'J84']"
664,JCM 9252,['J30']
665,JCM 19917,"['J1036', 'J1037']"
666,JCM 11254,"['J25', 'J30']"
667,JCM 15691,"['J30', 'J35']"
668,JCM 8976,['J25']
669,JCM 7746,['J13']
670,JCM 15696,['J735']
671,JCM 3319,"['J56', 'J346']"
672,JCM 2352,"['J30', 'J31', 'J226']"
673,JCM 11747,"['J25', 'J30']"
674,JCM 11054,['J41']
675,JCM 3567,"['J25', 'J30']"
676,JCM 32684,"['J22', 'J28', 'J475']"
677,JCM 5939,"['J25', 'J30']"
678,JCM 10691,"['J25', 'J30']"
679,JCM 30666,['J307']
680,JCM 8132,['J13']
681,JCM 1952,"['J30', 'J31', 'J118', 'J226', 'J346']"
682,JCM 28089,['J30']
683,JCM 9478,"['J25', 'J30']"
684,JCM 1854,"['J31', 'J346', 'J574']"
685,JCM 2824,"['J22', 'J25', 'J79', 'J475']"
686,JCM 3831,['J22']
687,JCM 22443,"['J30', 'J148', 'J332']"
688,JCM 30112,['J346']
689,JCM 17217,['J346']
690,JCM 32349,"['J30', 'J1202']"
691,JCM 31504,['J27']
692,JCM 9779,['J30']
693,JCM 32391,['J475']
694,JCM 12836,"['J30', 'J148']"
695,JCM 22582,"['J30', 'J226']"
696,JCM 5166,['J30']
697,JCM 9029,"['J25', 'J30']"
